State,Obama (D),Romney (R),All Others
AL,"795,696","1,255,925","22,717"
AK,"122,640","164,676","13,179"
AZ,"1,025,232","1,233,654","40,368"
AR,"394,409","647,744","27,315"
CA,"7,854,285","4,839,958","344,304"
CO,"1,323,102","1,185,243","61,177"
CT,"905,083","634,892","18,985"
DE,"242,584","165,484","5,853"
DC,"267,070","21,381","5,313"
FL,"4,237,756","4,163,447","72,976"
GA,"1,773,827","2,078,688","47,535"
HI,"306,658","121,015","7,024"
ID,"212,787","420,911","18,576"
IL,"3,019,512","2,135,216","87,286"
IN,"1,152,887","1,420,543","51,104"
IA,"822,544","730,617","29,019"
KS,"440,726","692,634","26,611"
KY,"679,370","1,087,190","30,652"
LA,"809,141","1,152,262","32,662"
ME,"401,306","292,276","19,598"
MD,"1,677,844","971,869","57,614"
MA,"1,921,290","1,188,314","58,163"
MI,"2,564,569","2,115,256","51,136"
MN,"1,546,167","1,320,225","70,169"
MS,"562,949","710,746","11,889"
MO,"1,223,796","1,482,440","51,087"
MT,"201,839","267,928","14,281"
NE,"302,081","475,064","17,234"
NV,"531,373","463,567","19,978"
NH,"369,561","329,918","11,493"
NJ,"2,125,101","1,477,568","37,623"
NM,"415,335","335,788","32,635"
NY,"4,485,741","2,490,431","104,987"
NC,"2,178,391","2,270,395","56,586"
ND,"124,827","188,163","9,637"
OH,"2,827,709","2,661,437","91,701"
OK,"443,547","891,325",0
OR,"970,488","754,175","64,607"
PA,"2,990,274","2,680,434","82,962"
RI,"279,677","157,204","9,168"
SC,"865,941","1,071,645","26,532"
SD,"145,039","210,610","8,166"
TN,"960,709","1,462,330","35,538"
TX,"3,308,124","4,569,843","115,884"
UT,"251,813","740,600","25,027"
VT,"199,239","92,698","7,353"
VA,"1,971,820","1,822,522","60,147"
WA,"1,755,396","1,290,670","79,450"
WV,"238,269","417,655","14,514"
WI,"1,620,985","1,407,966","39,483"
WY,"69,286","170,962","8,813"